Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
Costeleta de porco gorda crua,355,"31,8",0,0,"17,3"
Costeleta de porco meio gorda crua,221,"15,8",0,0,"19,8"
Lombo de porco cru,131,"4,7",0,0,"22,2"
Perna de porco gorda crua,239,"18,5",0,0,"18,1"
Perna de porco magra crua,152,"7,5",0,0,"21,0"
Entrecosto de porco cru,190,"12,4",0,0,"19,6"
Entrecosto de porco cozido,235,"14,2",0,0,"26,9"
"Costeleta de porco meio gorda estufada, sem molho",284,"19,6",0,0,"26,9"
"Entrecosto de porco estufado, sem molho",245,"15,4",0,0,"26,6"
"Perna de porco magra estufada, sem molho",213,"11,0",0,0,"28,6"
Entrecosto de porco estufado com óleo alimentar e banha,246,"17,1","0,7","0,2","20,9"
Entrecosto de porco estufado com azeite e banha,246,"17,1","0,7","0,2","20,9"
Entrecosto de porco estufado com margarina,239,"16,3","0,7","0,2","20,9"
Entrecosto de porco estufado com azeite e margarina,244,"16,8","0,7","0,2","20,9"
Costeleta de porco meio gorda estufada com óleo alimentar e banha,280,"20,7","0,7","0,2","21,1"
Costeleta de porco meio gorda estufada com azeite e banha,280,"20,7","0,7","0,2","21,1"
Costeleta de porco meio gorda estufada com margarina,272,"19,9","0,7","0,2","21,1"
Costeleta de porco meio gorda estufada com azeite e margarina,277,"20,4","0,7","0,2","21,1"
Perna de porco magra estufada com azeite e margarina,203,"11,6","0,7","0,2","22,4"
Perna de porco magra estufada com azeite e banha,206,"11,9","0,7","0,2","22,4"
Perna de porco magra estufada com margarina,198,"11,1","0,7","0,2","22,4"
Perna de porco magra estufada com óleo alimentar e banha,206,"11,9","0,7","0,2","22,4"
Entrecostode porco grelhado,243,"15,1",0,0,"26,8"
Perna de porco magra grelhada,215,"11,7",0,0,"27,5"
Perna de porco gorda grelhada,287,"20,6",0,0,"25,5"
Lombo de porco grelhado,189,"8,1",0,0,"29,1"
Costeleta de porco gorda grelhada,305,"23,1",0,0,"24,3"
Costeleta de porco meio gorda grelhada,261,"17,0",0,0,"27,0"
"Perna de porco magra assada, sem molho",213,"9,9",0,0,"31,0"
"Lombo de porco assado, sem molho",210,"8,8",0,0,"32,7"
"Perna de porco gorda assada, sem molho",283,"19,2",0,0,"27,6"
Perna de porco gorda assada com azeite e margarina,353,"28,2","0,2",0,"22,4"
Perna de porco gorda assada com óleo alimentar e margarina,353,"28,2","0,2",0,"22,4"
Perna de porco gorda assada com margarina,347,"27,6","0,2",0,"22,4"
Lombo de porco assado com margarina,208,"10,6",0,0,"28,2"
Lombo de porco assado com óleo alimentar e margarina,219,"11,1","0,2",0,"27,5"
Lombo de porco assado com azeite e margarina,219,"11,1","0,2",0,"27,5"
Perna de porco magra assada com azeite e margarina,245,"14,6","0,2",0,"26,0"
Perna de porco magra assada com óleo alimentar e margarina,244,"14,5","0,2",0,"26,0"
Perna de porco magra assada com margarina,239,"14,0","0,2",0,"26,0"
Costeleta de porco meio gorda panada,341,"24,1","8,6","0,4","22,1"
Lombo de porco panado,249,"12,5","8,5","0,4","25,3"
Lombo de porco frito com manteiga,180,"7,2",0,0,"28,8"
Lombo de porco frito com margarina,184,"7,6",0,0,"28,8"
Lombo de vaca magro cru,114,"3,3",0,0,"21,0"
Vaca para assar crua,174,"10,7",0,0,"19,4"
Vaca para cozer ou estufar magra crua,175,"9,8",0,0,"21,7"
Vaca para cozer ou estufar meio gorda crua,227,"15,8",0,0,"21,3"
Vaca magra cozida,259,"13,8",0,0,"33,7"
"Vaca magra estufada, sem molho",234,"12,0",0,0,"31,5"
"Vaca meio gorda estufada, sem molho",280,"17,0",0,0,"31,8"
Vaca meio gorda estufada com azeite e margarina,278,"20,2","1,2","0,4","21,4"
Vaca meio gorda estufada com óleo alimentar e margarina,278,"20,2","1,2","0,4","21,4"
Vaca meio gorda estufada com margarina,273,"19,6","1,2","0,4","21,4"
Vaca magra estufada com óleo alimentar e margarina,226,"14,2","1,2","0,4","21,8"
Vaca magra estufada com azeite e margarina,226,"14,2","1,2","0,4","21,8"
Vaca magra estufada com margarina,220,"13,6","1,2","0,4","21,8"
"Lombo de vaca magro assado, sem molho",172,"6,1",0,0,"29,2"
